Code,Name,SymbolRu,SymbolEn,AlphaRu,AlphaEn,GroupId
003,Миллиметр,мм,mm,ММ,MMT,1
004,Сантиметр,см,cm,СМ,CMT,1
005,Дециметр,дм,dm,ДМ,DMT,1
006,Метр,м,m,М,MTR,1
008,Километр; тысяча метров,км; 10³ м,km,КМ; ТЫС М,KMT,1
009,Мегаметр; миллион метров,Мм; 10⁶ м,Mm,МЕГАМ; МЛН М,MAM,1
018,Погонный метр,пог. м,NULL,ПОГ М,NULL,8
019,Тысяча погонных метров,10³ пог. м,NULL,ТЫС ПОГ М,NULL,8
020,Условный метр,усл. м,NULL,УСЛ М,NULL,8
039,"Дюйм (25,4 мм)",дюйм,in,ДЮЙМ,INH,1
041,"Фут (0,3048 м)",фут,ft,ФУТ,FOT,1
043,"Ярд (0,9144 м)",ярд,yd,ЯРД,YRD,1
047,Морская миля (1852 м),миля,n mile,МИЛЬ,NMI,1
048,Тысяча условных метров,10³ усл. м,NULL,ТЫС УСЛ М,NULL,8
049,Километр условных труб,км усл. труб,NULL,КМ УСЛ ТРУБ,NULL,8
050,Квадратный миллиметр,мм²,mm²,ММ2,MMK,2
051,Квадратный сантиметр,см²,cm²,СМ2,CMK,2
053,Квадратный дециметр,дм²,dm²,ДМ2,DMK,2
054,Тысяча квадратных дециметров,10³ дм²,NULL,ТЫС ДМ2,NULL,9
055,Квадратный метр,м²,m²,М2,MTK,2
056,Миллион квадратных дециметров,10⁶ дм²,NULL,МЛН ДМ2,NULL,9
057,Миллион квадратных метров,10⁶ м²,NULL,МЛН М2,NULL,9
058,Тысяча квадратных метров,10³ м²,daa,ТЫС М2,DAA,2
059,Гектар,га,ha,ГА,HAR,2
060,Тысяча гектаров,10³ га,NULL,ТЫС ГА,NULL,9
061,Квадратный километр,км²,km²,КМ2,KMK,2
062,Условный квадратный метр,усл. м²,NULL,УСЛ М2,NULL,9
063,Тысяча условных квадратных метров,10³ усл. м²,NULL,ТЫС УСЛ М2,NULL,9
064,Миллион условных квадратных метров,10⁶ усл. м²,NULL,МЛН УСЛ М2,NULL,9
071,"Квадратный дюйм (645,16 мм²)",дюйм²,in²,ДЮЙМ2,INK,2
073,"Квадратный фут (0,092903 м²)",фут²,ft²,ФУТ2,FTK,2
075,"Квадратный ярд (0,8361274 м²)",ярд²,yd²,ЯРД2,YDK,2
081,Квадратный метр общей площади,м² общ. пл,NULL,М2 ОБЩ ПЛ,NULL,9
082,Тысяча квадратных метров общей площади,10³ м² общ. пл,NULL,ТЫС М2 ОБЩ ПЛ,NULL,9
083,Миллион квадратных метров общей площади,10⁶ м² общ. пл,NULL,МЛН М2 ОБЩ ПЛ,NULL,9
084,Квадратный метр жилой площади,м² жил. пл,NULL,М2 ЖИЛ ПЛ,NULL,9
085,Тысяча квадратных метров жилой площади,10³ м² жил. пл,NULL,ТЫС М2 ЖИЛ ПЛ,NULL,9
086,Миллион квадратных метров жилой площади,10⁶ м² жил. пл,NULL,МЛН М2 ЖИЛ ПЛ,NULL,9
087,Квадратный метр учебно-лабораторных зданий,м² уч. лаб. здан,NULL,М2 УЧ. ЛАБ ЗДАН,NULL,9
088,Тысяча квадратных метров учебно-лабораторных зданий,10³ м² уч. лаб. здан,NULL,ТЫС М2 УЧ. ЛАБ ЗДАН,NULL,9
089,Миллион квадратных метров в двухмиллиметровом исчислении,10⁶ м² 2 мм исч,NULL,МЛН М2 2ММ ИСЧ,NULL,9
109,Ар (100 м²),а,a,АР,ARE,2
110,Кубический миллиметр,мм³,mm³,ММ3,MMQ,3
111,Кубический сантиметр; миллилитр,см³; мл,cm³; ml,СМ3; МЛ,CMQ; MLT,3
112,Кубический дециметр; литр,дм³; л,dm³; I; L,ДМ3; Л,DMQ; LTR,3
113,Кубический метр,м³,m³,М3,MTQ,3
114,Тысяча кубических метров,10³ м³,NULL,ТЫС М3,NULL,10
115,Миллиард кубических метров,10⁹ м³,NULL,МЛРД М3,NULL,10
116,Декалитр,дкл,NULL,ДКЛ,NULL,10
118,Децилитр,дл,dl,ДЛ,DLT,3
119,Тысяча декалитров,10³ дкл,NULL,ТЫС ДКЛ,NULL,10
120,Миллион декалитров,10⁶ дкл,NULL,МЛН ДКЛ,NULL,10
121,Плотный кубический метр,плотн. м³,NULL,ПЛОТН М3,NULL,10
122,Гектолитр,гл,hl,ГЛ,HLT,3
123,Условный кубический метр,усл. м³,NULL,УСЛ М3,NULL,10
124,Тысяча условных кубических метров,10³ усл. м³,NULL,ТЫС УСЛ М3,NULL,10
125,Миллион кубических метров переработки газа,10⁶ м³ перераб. газа,NULL,МЛН М3 ПЕРЕРАБ ГАЗА,NULL,10
126,Мегалитр,Мл,Ml,МЕГАЛ,MAL,3
127,Тысяча плотных кубических метров,10³ плотн. м³,NULL,ТЫС ПЛОТН М3,NULL,10
128,Тысяча полулитров,10³ пол. л,NULL,ТЫС ПОЛ Л,NULL,10
129,Миллион полулитров,10⁶ пол. л,NULL,МЛН ПОЛ Л,NULL,10
130,Тысяча литров; 1000 литров,10³ л; 1000 л,NULL,ТЫС Л,NULL,10
131,"Кубический дюйм (16387,1 мм³)",дюйм³,in³,ДЮЙМ3,INQ,3
132,"Кубический фут (0,02831685 м³)",фут³,ft³,ФУТ3,FTQ,3
133,"Кубический ярд (0,764555 м³)",ярд³,yd³,ЯРД3,YDQ,3
159,Миллион кубических метров,10⁶ м³,10⁶ m³,МЛН М3,HMQ,3
160,Гектограмм,гг,hg,ГГ,HGM,4
161,Миллиграмм,мг,mg,МГ,MGM,4
162,Метрический карат,кар,МС,КАР,CTM,4
163,Грамм,г,g,Г,GRM,4
164,Микрограмм,мкг,mg,МКГ,MG,4
165,Тысяча каратов метрических,10³ кар,NULL,ТЫС КАР,NULL,11
166,Килограмм,кг,kg,КГ,KGM,4
167,Миллион каратов метрических,10⁶ кар,NULL,МЛН КАР,NULL,11
168,Тонна; метрическая тонна (1000 кг),т,t,Т,TNE,4
169,Тысяча тонн,10³ т,NULL,ТЫС Т,NULL,11
170,Килотонна,10³ т,kt,КТ,KTN,4
171,Миллион тонн,10⁶ т,NULL,МЛН Т,NULL,11
172,Тонна условного топлива,т усл. топл,NULL,Т УСЛ ТОПЛ,NULL,11
173,Сантиграмм,сг,cg,СГ,CGM,4
175,Тысяча тонн условного топлива,10³ т усл. топл,NULL,ТЫС Т УСЛ ТОПЛ,NULL,11
176,Миллион тонн условного топлива,10⁶ т усл. топл,NULL,МЛН Т УСЛ ТОПЛ,NULL,11
177,Тысяча тонн единовременного хранения,10³ т единовр. хран,NULL,ТЫС Т ЕДИНОВР ХРАН,NULL,11
